,0
0,Tom Hanks
1,Tim Allen
2,Don Rickles
3,Jim Varney
4,Robin Williams
5,Jonathan Hyde
6,Kirsten Dunst
7,Bradley Pierce
8,Al Pacino
9,Robert De Niro
10,Val Kilmer
11,Jon Voight
12,Pierce Brosnan
13,Sean Bean
14,Izabella Scorupco
15,Famke Janssen
16,Kevin Bacon
17,Bob Hoskins
18,Bridget Fonda
19,Jim Cummings
20,Sharon Stone
21,Joe Pesci
22,James Woods
23,Kate Winslet
24,Emma Thompson
25,Hugh Grant
26,Tom Wilkinson
27,Tim Roth
28,Antonio Banderas
29,Jennifer Beals
30,Madonna
31,Jim Carrey
32,Ian McNeice
33,Simon Callow
34,Maynard Eziashi
35,John Travolta
36,Gene Hackman
37,Rene Russo
38,Danny DeVito
39,Sylvester Stallone
40,Julianne Moore
41,Anatoli Davydov
42,Nicolas Cage
43,Elisabeth Shue
44,Julian Sands
45,Richard Lewis
46,Ron Perlman
47,Dominique Pinon
48,Judith Vittet
49,Daniel Emilfork
50,Bruce Willis
51,Madeleine Stowe
52,Brad Pitt
53,Christopher Plummer
54,Christine Cavanaugh
55,Miriam Margolyes
56,Danny Mann
57,Hugo Weaving
58,Susan Sarandon
59,Sean Penn
60,Robert Prosky
61,Celia Weston
62,Alicia Silverstone
63,Stacey Dash
64,Brittany Murphy
65,Paul Rudd
66,Morgan Freeman
67,Gwyneth Paltrow
68,Kevin Spacey
69,Irene Bedard
70,Mel Gibson
71,David Ogden Stiers
72,John Kassir
73,Stephen Baldwin
74,Gabriel Byrne
75,Chazz Palminteri
76,Kevin Pollak
77,Ice Cube
78,Chris Tucker
79,Nia Long
80,John Witherspoon
81,George Clooney
82,Quentin Tarantino
83,Harvey Keitel
84,Juliette Lewis
85,Vincent Cassel
86,Abdel Ahmed Ghili
87,Souleymane Dicko
88,Edouard Montoute
89,Adam Sandler
90,Ben Stiller
91,Christopher McDonald
92,Julie Bowen
93,Meryl Streep
94,Clint Eastwood
95,Annie Corley
96,Victor Slezak
97,Catherine McCormack
98,Sophie Marceau
99,Patrick McGoohan
100,Cybill Shepherd
101,Jodie Foster
102,Nathan Lane
103,Dianne Wiest
104,Will Smith
105,Martin Lawrence
106,Joe Pantoliano
107,Marg Helgenberger
108,Leonardo DiCaprio
109,Lorraine Bracco
110,James Madio
111,Mark Wahlberg
112,Bill Paxton
113,Gary Sinise
114,Christina Ricci
115,Bill Pullman
116,Cathy Moriarty
117,Eric Idle
118,Denzel Washington
119,Matt Craven
120,George Dzundza
121,Salma Hayek
122,Joaquim de Almeida
123,Cheech Marin
124,Jeremy Irons
125,Graham Greene
126,Colleen Camp
127,Jonny Lee Miller
128,Angelina Jolie
129,Jesse Bradford
130,Matthew Lillard
131,Jason Lee
132,Jeremy London
133,Shannen Doherty
134,Claire Forlani
135,Ralph Fiennes
136,Angela Bassett
137,Tom Sizemore
138,Ethan Hawke
139,Julie Delpy
140,Andrea Eckert
141,Karl Bruckschwaiger
142,Darren McGavin
143,Bridgette Wilson
144,Bradley Whitford
145,Jeff Anderson
146,Jason Mewes
147,Kevin Smith
148,Lisa Spoonhauer
149,Jeff Daniels
150,Lauren Holly
151,Teri Garr
152,Johnny Depp
153,Martin Landau
154,Sarah Jessica Parker
155,Patricia Arquette
156,Bill Farmer
157,Jason Marsden
158,Rob Paulsen
159,Tom Cruise
160,Mark Hamill
161,Harrison Ford
162,Carrie Fisher
